iter	Passed	Remaining
988	18010	18410
989	18028	18393
990	18047	18374
991	18066	18357
992	18085	18340
993	18102	18320
994	18121	18303
995	18137	18283
996	18153	18262
997	18171	18243
998	18187	18223
999	18202	18202
1000	18220	18184
1001	18238	18165
1002	18257	18148
1003	18278	18132
1004	18298	18116
1005	18318	18099
1006	18338	18083
1007	18356	18065
1008	18375	18047
1009	18392	18028
1010	18412	18011
1011	18429	17992
1012	18447	17974
1013	18464	17954
1014	18482	17936
1015	18502	17919
1016	18520	17901
1017	18536	17881
1018	18555	17863
1019	18573	17845
1020	18592	17827
1021	18610	17809
1022	18628	17790
1023	18646	17772
1024	18663	17752
1025	18681	17734
1026	18700	17717
1027	18720	17701
1028	18738	17682
1029	18757	17664
1030	18778	17649
1031	18797	17631
1032	18815	17613
1033	18832	17594
1034	18849	17574
1035	18866	17555
1036	18885	17538
1037	18911	17526
1038	18941	17519
1039	18969	17509
1040	18992	17496
1041	19013	17480
1042	19034	17465
1043	19055	17449
1044	19074	17431
1045	19093	17414
1046	19112	17396
1047	19129	17377
1048	19146	17358
1049	19165	17340
1050	19181	17320
1051	19196	17298
1052	19214	17280
1053	19231	17261
1054	19248	17241
1055	19267	17224
1056	19285	17205
1057	19301	17185
1058	19319	17166
1059	19337	17147
1060	19355	17129
1061	19372	17110
1062	19389	17091
1063	19409	17074
1064	19433	17061
1065	19453	17044
1066	19474	17028
1067	19494	17011
1068	19513	16994
1069	19534	16978
1070	19554	16961
1071	19575	16945
1072	19594	16928
1073	19613	16910
1074	19635	16895
1075	19655	16878
1076	19675	16862
1077	19697	16846
1078	19722	16834
1079	19747	16822
1080	19775	16812
1081	19799	16798
1082	19819	16781
1083	19838	16764
1084	19859	16747
1085	19878	16730
1086	19899	16714
1087	19918	16696
1088	19935	16677
1089	19952	16657
1090	19971	16639
1091	19990	16622
1092	20009	16604
1093	20027	16586
1094	20047	16568
1095	20068	16553
1096	20089	16536
1097	20109	16520
1098	20130	16503
1099	20150	16486
1100	20171	16470
1101	20191	16453
1102	20209	16435
1103	20229	16418
1104	20248	16400
1105	20269	16384
1106	20288	16366
1107	20307	16348
1108	20326	16330
1109	20347	16314
1110	20365	16296
1111	20384	16278
1112	20404	16261
1113	20422	16242
1114	20441	16225
1115	20458	16205
1116	20477	16187
1117	20494	16168
1118	20512	16149
1119	20532	16132
1120	20550	16114
1121	20571	16098
1122	20595	16083
1123	20616	16067
1124	20635	16049
1125	20653	16031
1126	20671	16012
1127	20689	15994
1128	20708	15976
1129	20729	15959
1130	20747	15941
1131	20766	15923
1132	20784	15905
1133	20803	15887
1134	20822	15869
1135	20841	15851
1136	20861	15834
1137	20879	15815
1138	20898	15797
1139	20915	15778
1140	20935	15760
1141	20955	15744
1142	20976	15727
1143	20995	15709
1144	21014	15691
1145	21033	15674
1146	21050	15654
1147	21069	15636
1148	21088	15618
1149	21106	15600
1150	21127	15583
1151	21144	15564
1152	21162	15545
1153	21182	15528
1154	21200	15510
1155	21219	15492
1156	21238	15474
1157	21256	15456
1158	21272	15435
1159	21293	15419
1160	21322	15408
1161	21345	15393
1162	21369	15379
1163	21385	15359
1164	21404	15341
1165	21420	15321
1166	21440	15304
1167	21459	15286
1168	21476	15267
1169	21495	15249
1170	21517	15232
1171	21535	15214
1172	21552	15195
1173	21571	15177
1174	21591	15159
1175	21609	15141
1176	21630	15124
1177	21648	15106
1178	21666	15087
1179	21682	15067
1180	21701	15049
1181	21721	15032
1182	21741	15014
1183	21759	14996
1184	21779	14979
1185	21798	14961
1186	21817	14943
1187	21835	14924
1188	21856	14907
1189	21876	14890
1190	21896	14873
1191	21914	14854
1192	21933	14836
1193	21952	14818
1194	21971	14800
1195	21992	14783
1196	22012	14766
1197	22040	14755
1198	22063	14739
1199	22087	14725
1200	22109	14709
1201	22134	14694
1202	22159	14680
1203	22180	14664
1204	22200	14646
1205	22221	14630
1206	22242	14613
1207	22260	14594
1208	22277	14575
1209	22294	14555
1210	22311	14536
1211	22333	14520
1212	22355	14504
1213	22374	14486
1214	22391	14467
1215	22411	14449
1216	22431	14432
1217	22450	14413
1218	22469	14395
1219	22488	14378
1220	22506	14359
1221	22526	14342
1222	22545	14323
1223	22566	14306
1224	22585	14288
1225	22603	14269
1226	22624	14253
1227	22643	14235
1228	22663	14217
1229	22684	14200
1230	22702	14182
1231	22723	14165
1232	22742	14147
1233	22761	14129
1234	22782	14112
1235	22803	14095
1236	22821	14076
1237	22840	14058
1238	22859	14040
1239	22880	14023
1240	22900	14006
1241	22921	13988
1242	22943	13972
1243	22963	13955
1244	22981	13936
1245	22999	13917
1246	23019	13900
1247	23039	13882
1248	23058	13864
1249	23078	13847
1250	23097	13829
1251	23116	13810
1252	23134	13791
1253	23152	13773
1254	23172	13755
1255	23190	13737
1256	23209	13718
1257	23229	13701
1258	23249	13683
1259	23268	13665
1260	23285	13646
1261	23306	13629
1262	23327	13612
1263	23347	13594
1264	23367	13577
1265	23385	13558
1266	23403	13539
1267	23422	13521
1268	23440	13502
1269	23457	13483
1270	23472	13463
1271	23491	13444
1272	23509	13426
1273	23529	13408
1274	23546	13389
1275	23565	13371
1276	23584	13352
1277	23602	13334
1278	23622	13316
1279	23640	13297
1280	23658	13278
1281	23677	13260
1282	23696	13242
1283	23715	13224
1284	23735	13206
1285	23755	13189
1286	23773	13170
1287	23791	13151
1288	23809	13132
1289	23826	13113
1290	23844	13094
1291	23864	13077
1292	23883	13059
1293	23901	13040
1294	23924	13024
1295	23946	13008
1296	23965	12989
1297	23983	12971
1298	24001	12952
1299	24019	12933
1300	24037	12914
1301	24055	12896
1302	24074	12877
1303	24091	12858
1304	24112	12841
1305	24131	12823
1306	24150	12805
1307	24169	12786
1308	24188	12768
1309	24208	12751
1310	24227	12732
1311	24247	12715
1312	24265	12696
1313	24282	12677
1314	24300	12658
1315	24318	12639
1316	24337	12621
1317	24355	12602
1318	24373	12583
1319	24390	12565
1320	24410	12547
1321	24429	12528
1322	24447	12510
1323	24464	12490
1324	24481	12471
1325	24498	12452
1326	24514	12432
1327	24532	12414
1328	24551	12395
1329	24569	12376
1330	24588	12359
1331	24608	12341
1332	24629	12323
1333	24651	12307
1334	24676	12292
1335	24699	12276
1336	24719	12257
1337	24735	12238
1338	24752	12219
1339	24770	12200
1340	24786	12180
1341	24802	12161
1342	24819	12141
1343	24836	12122
1344	24856	12105
1345	24875	12086
1346	24895	12069
1347	24914	12050
1348	24931	12031
1349	24949	12012
1350	24968	11994
1351	24984	11974
1352	25006	11957
1353	25030	11942
1354	25050	11924
1355	25067	11905
1356	25087	11887
1357	25107	11869
1358	25127	11851
1359	25146	11833
1360	25166	11815
1361	25184	11797
1362	25205	11779
1363	25224	11761
1364	25243	11743
1365	25263	11725
1366	25282	11707
1367	25301	11688
1368	25318	11669
1369	25337	11651
1370	25353	11631
1371	25372	11613
1372	25391	11595
1373	25409	11576
1374	25426	11557
1375	25445	11539
1376	25466	11521
1377	25485	11503
1378	25504	11485
1379	25523	11467
1380	25543	11449
1381	25562	11431
1382	25581	11412
1383	25598	11393
1384	25618	11375
1385	25638	11358
1386	25656	11339
1387	25676	11321
1388	25695	11302
1389	25713	11284
1390	25732	11265
1391	25751	11247
1392	25770	11229
1393	25787	11210
1394	25806	11191
1395	25827	11174
1396	25850	11158
1397	25866	11138
1398	25886	11120
1399	25905	11102
1400	25924	11084
1401	25943	11065
1402	25960	11046
1403	25979	11028
1404	25996	11009
1405	26015	10991
1406	26034	10972
1407	26052	10953
1408	26071	10935
1409	26089	10916
1410	26107	10898
1411	26125	10879
1412	26144	10861
1413	26165	10843
1414	26183	10825
1415	26202	10806
1416	26220	10788
1417	26239	10769
1418	26257	10751
1419	26275	10732
1420	26291	10712
1421	26308	10693
1422	26324	10674
1423	26339	10654
1424	26355	10634
1425	26371	10615
1426	26388	10596
1427	26404	10576
1428	26421	10557
1429	26441	10539
1430	26461	10521
1431	26477	10502
1432	26494	10483
1433	26510	10463
1434	26526	10444
1435	26544	10425
1436	26560	10406
1437	26577	10386
1438	26593	10367
1439	26608	10347
1440	26626	10329
1441	26650	10312
1442	26673	10296
1443	26693	10277
